觀測次數,使用者數,極端比例,一致性均值,效益主義均值
1次,63506,1.0,1.0,0.5496016124460681
2次,5424,0.7343289085545722,0.8671644542772862,0.5500553097345132
3次以上,190,0.5473684210526316,0.7867667272276094,0.5037280701754385
