metric,value,cv_mean,cv_std
Accuracy,0.6058776382580817,0.6098841975486814,0.0025750206484716457
Precision,0.5869130100076982,0.6048215335928567,0.0028051140576797443
Recall,0.448206937095826,0.4449784953451438,0.006626662676820645
F1 Score,0.5082666666666666,0.5069091563693382,0.004992041113406382
ROC-AUC,0.6381536758063039,0.6383037328079213,0.0008803519256868891
