變數,係數,標準誤,z值,p值,顯著
Intercept,0.22804067218462534,0.002148874508213061,106.12098161760832,0.0,True
political_centered,-0.02865253711687059,0.004216870104026049,-6.794740271822608,1.0850783430840849e-11,True
age_centered,-0.0011086152196289288,0.0001136151217980749,-9.757637910200376,1.7109368450429546e-22,True
religious_centered,-0.02498660049199991,0.0036576407056067616,-6.8313436182231335,8.4122961806673e-12,True
country_util_centered,-0.48630557390683504,0.05319822912226511,-9.141386507230578,6.165668491289845e-20,True
