變數,類型,檢定方法,統計量,p值,效果量,效果解釋,顯著,樣本數
is_lawful,類別(2),t檢定,t = -277.479,0.0,-1.2829056852481855,大效果,✓,187124
is_majority,類別(2),t檢定,t = -277.479,0.0,-1.2829056852481855,大效果,✓,187124
