變數,VIF,共線性
Review_age,5.0616562407610886,中等
Review_political,4.1708676662676485,無
Review_religious,1.6279120377111216,無
Cluster_Southern,1.2148032749706854,無
Cluster_Eastern,1.1184894352340429,無
