模型,Log-Likelihood,AIC,BIC,ICC,最佳_AIC,最佳_BIC
Null Model,-86030.91574931925,172067.8314986385,172097.73022047727,0.002482147751590176,False,False
Random Intercept,-85919.64562157553,171853.29124315106,171923.05492744158,,True,True
Random Slope,-85918.57070184592,171855.14140369184,171944.8375692082,,False,False
