Group1,Group2,Prop1,Prop2,Diff,chi2,p_value,cramers_v,p_adjusted,significant,Comparison
0,2,0.3460459778359574,0.34916396743412415,-0.003117989598166726,2.3477469027280904,0.1254642285273646,0.002599744894863138,0.3763926855820938,False,0 vs 2
0,1,0.3460459778359574,0.3710837703375017,-0.025037792501544254,74.11139793001264,7.383080479392702e-18,0.015497442107599535,2.2149241438178105e-17,True,0 vs 1
2,1,0.34916396743412415,0.3710837703375017,-0.021919802903377528,43.389976927905174,4.4847947892127884e-11,0.02101110433027734,1.3454384367638366e-10,True,2 vs 1
