變數,類型,檢定方法,統計量,p值,效果量,效果解釋,顯著,樣本數
Review_age,連續,點二系列相關,r = -0.023,2.7537210011737837e-19,-0.022630714904094296,可忽略,✓,157352
Review_political,連續,點二系列相關,r = -0.014,2.7477312781075306e-09,-0.013744931834694512,可忽略,✓,187124
Review_religious,連續,點二系列相關,r = -0.014,5.578004930809016e-10,-0.014336451762478747,可忽略,✓,187124
