欄位名稱,資料型態,非空值數量,缺失值數量,缺失值比例,唯一值數量
Unnamed: 0,int64,259,0,0.00%,259
id,object,259,0,0.00%,259
culture,object,106,153,59.07%,9
continent,object,130,129,49.81%,6
