國家代碼,決策數量
GLP,24
GUF,22
SEN,22
NAM,20
FRO,18
SMR,16
LIE,16
CYM,14
MOZ,14
FJI,12
CPV,12
GIB,12
SYC,12
SDN,12
VIR,10
RWA,10
YEM,10
LBY,10
BLZ,10
MYT,8
BMU,8
GHA,8
ZMB,8
ABW,8
COD,8
TJK,6
CIV,6
ZWE,6
COG,6
TZA,6
GRL,6
LAO,6
TCA,6
VCT,6
UGA,6
CUW,6
LCA,4
SLE,4
SXM,4
GAB,4
GUY,4
IOT,4
ASM,4
COK,4
VUT,2
DJI,2
SUR,2
GMB,2
ALA,2
CUB,2
PRK,2
BEN,2
BFA,2
SOM,2
PLW,2
MNP,2
GIN,2
TGO,2
TLS,2
KNA,2
VAT,2
TCD,2
MAF,2
BWA,2
BDI,2
ETH,2
AIA,2
MRT,2
SPM,2
TKM,2
HTI,2
